groups,transport,battery,relay,component,gap,units,cv,A_uav,B_uav,C_uav,A_battery,B_battery,C_battery,R_uav,R_component
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S012;S015 | S009;S010;S013;S014,13,16,6,9,14,44,0.29620575976043867,7,4,2,7,5,4,6,9
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S015 | S009;S010;S012;S013;S014,14,17,6,9,16,46,0.3546327937801386,7,5,2,7,6,4,6,9
S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008 | S009;S010;S013;S014;S015,14,17,6,8,15,45,0.48783658057548124,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008;S009;S010;S013;S014 | S015,14,17,6,8,15,45,0.4835528530142179,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008;S015 | S009;S010;S013;S014,13,17,6,9,15,45,0.3983176359318397,7,4,2,7,6,4,6,9
S001;S002;S003;S004;S005;S006;S007;S011;S012;S015 | S008 | S009;S010;S013;S014,13,17,6,8,14,44,0.5252510563435008,7,4,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011;S015 | S008 | S009;S010;S012;S013;S014,14,17,6,8,15,45,0.4855546442769842,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011;S015 | S008;S009;S010;S013;S014 | S012,14,17,6,8,15,45,0.511753811732133,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011;S015 | S008;S012 | S009;S010;S013;S014,13,16,6,9,14,44,0.34752304366090386,7,4,2,7,5,4,6,9
S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014 | S006 | S015,10,15,4,5,5,34,1.063067891221579,4,3,3,6,4,5,4,5
S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014 | S006 | S012;S015,10,16,4,6,6,36,0.9432791785021063,4,3,3,6,5,5,4,6
S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014 | S006;S012 | S015,11,16,6,7,10,40,0.8335714646293553,4,4,3,6,5,5,6,7
S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014 | S006;S015 | S012,11,16,6,7,10,40,0.8348246351308715,4,4,3,6,5,5,6,7
S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014;S015 | S006 | S012,10,16,4,5,6,35,1.0939283951311172,4,3,3,6,5,5,4,5
S001;S002;S003;S004;S005;S007;S008;S011 | S006 | S009;S010;S012;S013;S014;S015,13,17,4,6,10,40,0.7186270988977131,7,3,3,7,5,5,4,6
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S009;S010;S012;S013;S014 | S015,14,17,6,8,15,45,0.5055300820816743,7,4,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S009;S010;S013;S014 | S012;S015,13,17,6,9,15,45,0.4181846175182711,7,3,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S009;S010;S013;S014;S015 | S012,14,17,6,8,15,45,0.5355666060798512,7,4,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S012 | S009;S010;S013;S014;S015,14,17,6,8,15,45,0.5134175666952798,7,4,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S012;S015 | S009;S010;S013;S014,13,17,6,9,15,45,0.40649279893296686,7,3,3,7,5,5,6,9
S001;S002;S003;S004;S005;S007;S008;S011 | S006;S015 | S009;S010;S012;S013;S014,14,17,6,8,15,45,0.48460302394284155,7,4,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006 | S009;S010;S013;S014;S015,13,16,4,6,9,39,0.7495707357592415,7,3,3,7,4,5,4,6
S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006;S009;S010;S013;S014 | S015,13,16,6,8,13,43,0.5413762826018236,7,3,3,7,4,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006;S015 | S009;S010;S013;S014,13,16,6,8,13,43,0.5247314149317948,7,3,3,7,4,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011;S012;S015 | S006 | S009;S010;S013;S014,12,16,4,6,8,38,0.7835954660734041,7,2,3,7,4,5,4,6
S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006 | S009;S010;S012;S013;S014,13,17,4,6,10,40,0.7474979501480007,7,3,3,7,5,5,4,6
S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006;S009;S010;S013;S014 | S012,13,17,6,8,14,44,0.5686508329287597,7,3,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006;S012 | S009;S010;S013;S014,13,17,6,8,14,44,0.5504781622867876,7,3,3,7,5,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006 | S008;S015,11,17,4,6,8,38,0.9033084943374251,4,4,3,6,6,5,4,6
S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006;S008 | S015,12,17,6,7,12,42,0.7693763153165544,4,5,3,6,6,5,6,7
S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006;S015 | S008,12,17,6,7,12,42,0.7682981168990675,4,5,3,6,6,5,6,7
S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015 | S006 | S008,11,17,4,5,8,37,1.027079816284041,4,4,3,6,6,5,4,5
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006 | S008;S012;S015,11,16,4,6,7,37,0.8120165088468065,4,4,3,6,5,5,4,6
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008 | S012;S015,12,17,6,8,13,43,0.6541766792322975,4,5,3,6,6,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008;S012 | S015,12,16,6,8,12,42,0.6161192912675115,4,5,3,6,5,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008;S015 | S012,12,17,6,8,13,43,0.6849662916440307,4,5,3,6,6,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S012 | S008;S015,12,17,6,8,13,43,0.6762019057448292,4,5,3,6,6,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S012;S015 | S008,12,17,6,8,13,43,0.6587819760431153,4,5,3,6,6,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S015 | S008;S012,12,16,6,8,12,42,0.6053312090998575,4,5,3,6,5,5,6,8
S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006 | S008;S012,11,16,4,6,7,37,0.8515105612985585,4,4,3,6,5,5,4,6
