service_area,uav_type,distance_m,terrain_max_m,cruise_altitude_m,outbound_climb_m,return_climb_m,rated_payload_kg,energy_limited_payload_kg,max_safe_payload_kg,round_trip_energy_kWh,round_trip_flight_time_s,reserve_fraction,energy_binding,reachable,scenario_reserve
S013,B,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,30,NaN,30,2.01435127637679,880.472325101902,0.25,0,1,0.25
S013,C,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,80,NaN,80,4.89148398983459,933.632933012059,0.25,0,1,0.25
S014,A,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,25,NaN,25,2.42569258131561,1420.40981165519,0.25,0,1,0.25
S014,B,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,30,NaN,30,2.35532353551719,1239.75641638145,0.25,0,1,0.25
S014,C,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,80,NaN,80,5.60776224737273,1357.28887894655,0.25,0,1,0.25
S015,A,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,25,NaN,25,2.61925291975111,1398.58940314771,0.25,0,1,0.25
S015,B,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,30,NaN,30,2.54444058753996,1198.27663742702,0.25,0,1,0.25
S015,C,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,80,78.4546115976991,78.4546115976991,5.99999999999487,1288.50972255072,0.25,1,1,0.25
S001,A,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,25,NaN,25,1.31271801609626,680.899502077168,0.3,0,1,0.3
S001,B,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,30,NaN,30,1.27394871462557,579.100207293245,0.3,0,1,0.3
S001,C,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,80,NaN,80,3.08169695084626,618.169077329052,0.3,0,1,0.3
S002,A,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,25,NaN,25,3.09044961489555,1433.73798193454,0.3,0,1,0.3
S002,B,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,30,26.7459280358526,26.7459280358526,2.79999999999748,1186.69430009841,0.3,1,1,0.3
