gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
17,47,0.27356458625358027,11,S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S013;S014;S015 | S008;S012,7,5,3,7,5,5,6,9
16,46,0.26081010202873783,11,S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S013;S014 | S008;S012;S015,7,4,3,7,5,5,6,9
12,42,0.7004264908369072,8,S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006 | S008;S009;S010;S013;S014,7,4,3,7,6,5,4,6
17,47,0.43939693717811845,10,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S015 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,8
12,42,0.6824468398173703,8,S001;S002;S003;S004;S005;S007;S011;S012 | S006 | S008;S009;S010;S013;S014;S015,7,4,3,7,6,5,4,6
17,47,0.4669301152416846,10,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S012 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,8
18,48,0.31599034450391644,11,S001;S002;S003;S004;S005;S007;S011 | S006;S012;S015 | S008;S009;S010;S013;S014,7,5,3,7,6,5,6,9
17,47,0.44835247169242415,10,S001;S002;S003;S004;S005;S007;S011 | S006;S012 | S008;S009;S010;S013;S014;S015,7,5,3,7,6,5,6,8
11,41,0.6814712034585727,8,S001;S002;S003;S004;S005;S007;S011;S015 | S006 | S008;S009;S010;S012;S013;S014,7,4,3,7,5,5,4,6
16,46,0.41902689225798356,10,S001;S002;S003;S004;S005;S007;S011 | S006;S015 | S008;S009;S010;S012;S013;S014,7,5,3,7,5,5,6,8
11,41,0.6698845079535609,8,S001;S002;S003;S004;S005;S007;S011 | S006 | S008;S009;S010;S012;S013;S014;S015,7,4,3,7,5,5,4,6
9,39,0.7300893109680321,9,S001;S002;S003;S006;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005 | S015,4,3,3,6,4,5,6,8
11,41,0.6363237076863673,10,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S012 | S015,4,4,3,6,5,5,6,8
10,40,0.7559195383251234,9,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005 | S012,4,3,3,6,5,5,6,8
11,41,0.7075519457066834,9,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S015 | S012,4,4,3,6,5,5,6,8
11,41,0.6168896882081731,10,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005 | S012;S015,4,3,3,6,5,5,6,9
13,43,0.4774682219753903,10,S001;S002;S003;S006;S007;S008;S011;S012 | S004;S005;S009;S010;S013;S014 | S015,7,3,3,7,4,5,6,8
15,45,0.4579122958177897,10,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S012;S013;S014 | S015,7,4,3,7,5,5,6,8
14,44,0.5058617573307888,10,S001;S002;S003;S006;S007;S008;S011;S015 | S004;S005;S009;S010;S013;S014 | S012,7,3,3,7,5,5,6,8
15,45,0.48796358370865356,10,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S013;S014;S015 | S012,7,4,3,7,5,5,6,8
15,45,0.35237372616506746,11,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S009;S010;S013;S014 | S012;S015,7,3,3,7,5,5,6,9
13,43,0.4398605525996264,10,S001;S002;S003;S006;S007;S008;S011;S012;S015 | S004;S005 | S009;S010;S013;S014,7,2,3,7,4,5,6,9
14,44,0.38321544822963566,10,S001;S002;S003;S006;S007;S008;S011;S012 | S004;S005;S015 | S009;S010;S013;S014,7,3,3,7,4,5,6,9
14,44,0.3997764669362009,10,S001;S002;S003;S006;S007;S008;S011;S012 | S004;S005 | S009;S010;S013;S014;S015,7,3,3,7,4,5,6,9
15,45,0.3335961306982605,11,S001;S002;S003;S006;S007;S008;S011;S015 | S004;S005;S012 | S009;S010;S013;S014,7,3,3,7,5,5,6,9
15,45,0.2828288468136096,11,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S012;S015 | S009;S010;S013;S014,7,3,3,7,5,5,6,9
16,46,0.2889552488999943,11,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S012 | S009;S010;S013;S014;S015,7,4,3,7,5,5,6,9
15,45,0.39731043098034685,10,S001;S002;S003;S006;S007;S008;S011;S015 | S004;S005 | S009;S010;S012;S013;S014,7,3,3,7,5,5,6,9
16,46,0.33905767143028953,10,S001;S002;S003;S006;S007;S008;S011 | S004;S005;S015 | S009;S010;S012;S013;S014,7,4,3,7,5,5,6,9
15,45,0.3628429416031545,10,S001;S002;S003;S006;S007;S008;S011 | S004;S005 | S009;S010;S012;S013;S014;S015,7,3,3,7,5,5,6,9
13,43,0.6045744435733417,8,S001;S002;S003;S006;S007;S009;S010;S011;S012;S013;S014 | S004;S005;S008 | S015,4,5,3,6,6,5,6,8
12,42,0.5295306506563306,9,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S008;S012 | S015,4,5,3,6,5,5,6,8
13,43,0.63158345195056,8,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S008 | S012,4,5,3,6,6,5,6,8
13,43,0.588775973073754,8,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S008;S015 | S012,4,5,3,6,6,5,6,8
14,44,0.48313977333832914,9,S001;S002;S003;S006;S007;S009;S010;S011;S013;S014 | S004;S005;S008 | S012;S015,4,5,3,6,6,5,6,9
17,47,0.4358212434475315,9,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S008;S009;S010;S013;S014 | S015,7,5,3,7,6,5,6,8
16,46,0.4387110690922121,9,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S009;S010;S012;S013;S014 | S015,7,5,3,7,5,5,6,8
17,47,0.46651609460850335,9,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S008;S009;S010;S013;S014 | S012,7,5,3,7,6,5,6,8
17,47,0.4691454744632303,9,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S009;S010;S013;S014;S015 | S012,7,5,3,7,6,5,6,8
18,48,0.3128299904707806,10,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S009;S010;S013;S014 | S012;S015,7,5,3,7,6,5,6,9
17,47,0.2857374606828469,9,S001;S002;S003;S006;S007;S011;S012;S015 | S004;S005;S008 | S009;S010;S013;S014,7,4,3,7,6,5,6,9
17,47,0.22967329690430047,9,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S008;S015 | S009;S010;S013;S014,7,4,3,7,6,5,6,9
18,48,0.24181725531543846,9,S001;S002;S003;S006;S007;S011;S012 | S004;S005;S008 | S009;S010;S013;S014;S015,7,5,3,7,6,5,6,9
16,46,0.19335029438808643,10,S001;S002;S003;S006;S007;S011;S015 | S004;S005;S008;S012 | S009;S010;S013;S014,7,4,3,7,5,5,6,9
16,46,0.1527067938500528,10,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S012;S015 | S009;S010;S013;S014,7,4,3,7,5,5,6,9
17,47,0.1399353133414604,10,S001;S002;S003;S006;S007;S011 | S004;S005;S008;S012 | S009;S010;S013;S014;S015,7,5,3,7,5,5,6,9
