gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
8,38,0.1267068122491687,8,S001;S002;S004;S005;S009;S010;S013;S014;S015 | S003;S006;S007;S008;S011;S012,6,3,3,7,5,4,4,6
9,39,0.07304592732754474,8,S001;S002;S004;S005;S009;S010;S013;S014 | S003;S006;S007;S008;S011;S012;S015,6,3,3,7,6,4,4,6
9,39,0.1269593080759427,8,S001;S002;S004;S005;S012;S015 | S003;S006;S007;S008;S009;S010;S011;S013;S014,5,4,3,7,6,4,4,6
10,40,0.18062019299756657,8,S001;S002;S004;S005;S012 | S003;S006;S007;S008;S009;S010;S011;S013;S014;S015,5,4,3,7,7,4,4,6
7,37,0.1841445542488515,8,S001;S002;S004;S005;S015 | S003;S006;S007;S008;S009;S010;S011;S012;S013;S014,5,3,3,7,5,4,4,6
8,38,0.2378054391704754,8,S001;S002;S004;S005 | S003;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015,5,3,3,7,6,4,4,6
10,40,0.26282430778382787,7,S001;S002;S006;S008;S009;S010;S012;S013;S014;S015 | S003;S004;S005;S007;S011,6,3,4,7,4,6,4,6
12,42,0.20681475607870387,7,S001;S002;S006;S008;S009;S010;S012;S013;S014 | S003;S004;S005;S007;S011;S015,6,4,4,7,5,6,4,6
11,41,0.15268463839569005,8,S001;S002;S006;S008;S009;S010;S013;S014;S015 | S003;S004;S005;S007;S011;S012,6,3,4,7,5,6,4,6
12,42,0.09902375347406615,8,S001;S002;S006;S008;S009;S010;S013;S014 | S003;S004;S005;S007;S011;S012;S015,6,4,4,7,5,6,4,6
9,39,0.10098148192942126,8,S001;S002;S006;S008;S012;S015 | S003;S004;S005;S007;S009;S010;S011;S013;S014,5,3,4,7,4,6,4,6
11,41,0.15464236685104515,8,S001;S002;S006;S008;S012 | S003;S004;S005;S007;S009;S010;S011;S013;S014;S015,5,4,4,7,5,6,4,6
10,40,0.15816672810233007,8,S001;S002;S006;S008;S015 | S003;S004;S005;S007;S009;S010;S011;S012;S013;S014,5,3,4,7,5,6,4,6
11,41,0.21182761302395403,8,S001;S002;S006;S008 | S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015,5,4,4,7,5,6,4,6
