K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
2,2,21,3377.76377439637,3594.02491853137,G01,,G01,1.33230446469858
2,2,21,3594.02491853137,3729.29450166125,G01,,G01,23.3011722198605
2,2,23,2695.78401825254,2843.81710337623,G01,,G01,18.9961742660636
2,2,23,2843.81710337623,2976.3411878242,G01,,G01,4.82841968678625
2,2,23,2976.3411878242,3108.86527227216,R02,Q3-R02,K2-G2-R02,0.808915587091107
2,2,23,3108.86527227216,3161.50263026138,R02,Q3-R02,K2-G2-R02,2.17416138408802
2,2,23,3161.50263026138,3244.44263481761,R01,Q3-R03,K2-G2-R01,6.31323878619594
2,2,23,3244.44263481761,3283.36233696605,R01,Q3-R03,K2-G2-R01,6.4073345137391
2,2,23,3283.36233696605,3523.36233696605,R01,Q3-R03,K2-G2-R01,6.55348643626947
2,2,23,3523.36233696605,3555.79542208974,R01,Q3-R03,K2-G2-R01,6.4073345137391
2,2,23,3555.79542208974,3756.10818781041,R01,Q3-R03,K2-G2-R01,5.03204532455047
2,2,23,3756.10818781041,3956.42095353107,G01,,G01,1.56891983145425
2,2,23,3956.42095353107,4134.06065567951,G01,,G01,18.9961742660636
3,1,2,300,358.142644042969,G01,,G01,28.6970794428954
3,1,2,358.142644042969,561.741233610815,G01,,G01,1.95921317757148
3,1,2,561.741233610815,606.269538664526,G01,,G01,2.11881910856134
3,1,2,606.269538664526,718.826061535051,G01,,G01,2.247841154143
3,1,2,718.826061535051,1002.26953866453,G01,,G01,2.247841154143
3,1,2,1002.26953866453,1037.89218270749,G01,,G01,2.11881910856134
3,1,2,1037.89218270749,1241.49077227534,G01,,G01,1.95921317757148
3,1,2,1241.49077227534,1314.16907732905,G01,,G01,28.6970794428954
3,1,5,300,348.452203369141,G01,,G01,28.6970794428954
3,1,5,348.452203369141,552.050792936987,G01,,G01,1.95921317757148
3,1,5,552.050792936987,587.673436979956,G01,,G01,2.11881910856134
3,1,5,587.673436979956,718.826061535051,G01,,G01,2.247841154143
3,1,5,718.826061535051,797.673436979956,G01,,G01,2.247841154143
3,1,5,797.673436979956,827.35897368243,G01,,G01,2.11881910856134
3,1,5,827.35897368243,1030.95756325027,G01,,G01,1.95921317757148
3,1,5,1030.95756325027,1089.10020729324,G01,,G01,28.6970794428954
3,1,6,300,348.452203369141,G01,,G01,28.6970794428954
3,1,6,348.452203369141,602.950440328949,G01,,G01,1.95921317757148
3,1,6,602.950440328949,638.573084371917,G01,,G01,2.11881910856134
3,1,6,638.573084371917,718.826061535051,G01,,G01,2.247841154143
3,1,6,718.826061535051,878.573084371917,G01,,G01,2.247841154143
3,1,6,878.573084371917,908.258621074391,G01,,G01,2.11881910856134
3,1,6,908.258621074391,1162.7568580342,G01,,G01,1.95921317757148
3,1,6,1162.7568580342,1220.89950207717,G01,,G01,28.6970794428954
3,1,9,3051.42681562808,3099.87901899722,G01,,G01,28.6970794428954
3,1,9,3099.87901899722,3108.86527227216,G01,,G01,25.8962450038347
3,1,9,3108.86527227216,3161.50263026138,G01,,G01,14.0851731851688
3,1,9,3161.50263026138,3354.37725595703,G01,,G01,2.14537338983922
3,1,9,3354.37725595703,3389.9999,G01,,G01,2.11881910856134
3,1,9,3389.9999,3599.9999,G01,,G01,2.247841154143
3,1,9,3599.9999,3629.68543670247,G01,,G01,2.11881910856134
3,1,9,3629.68543670247,3884.18367366228,G01,,G01,1.95921317757148
3,1,9,3884.18367366228,3942.32631770525,G01,,G01,28.6970794428954
3,1,10,1205.96483972278,1266.38292443957,G01,,G01,26.7800109952677
3,1,10,1266.38292443957,1470.96497346011,G01,,G01,1.87581319314671
3,1,10,1470.96497346011,1573.25599797038,R01,Q3-R01,K3-G1-R01,0.458168825139524
3,1,10,1573.25599797038,1624.40151022551,R01,Q3-R01,K3-G1-R01,0.392126104215237
3,1,10,1624.40151022551,1649.97426635308,R01,Q3-R01,K3-G1-R01,0.240286726328108
3,1,10,1649.97426635308,1662.76064441687,R01,Q3-R01,K3-G1-R01,0.141651019404307
3,1,10,1662.76064441687,1669.15383344876,R01,Q3-R01,K3-G1-R01,0.0875229137746771
3,1,10,1669.15383344876,1675.54702248065,R01,Q3-R01,K3-G1-R01,0.00420634427008792
3,1,10,1675.54702248065,1760.47028811182,R02,Q3-R02,K3-G1-R02,7.42904100991313
3,1,10,1760.47028811182,1773.20666333897,R02,Q3-R02,K3-G1-R02,8.54799686624557
3,1,10,1773.20666333897,1796.25198977198,R02,Q3-R02,K3-G1-R02,8.49028606538083
3,1,10,1796.25198977198,2006.25198977198,R02,Q3-R02,K3-G1-R02,8.58969544764825
3,1,10,2006.25198977198,2036.07007448878,R02,Q3-R02,K3-G1-R02,8.43471562018644
3,1,10,2036.07007448878,2283.11375632488,R02,Q3-R02,K3-G1-R02,3.09374341779245
3,1,10,2283.11375632488,2530.15743816099,G01,,G01,0.277360399710858
3,1,10,2530.15743816099,2602.65913982114,G01,,G01,26.7800109952677
3,1,15,1554.16907732905,1612.31172137202,G01,,G01,28.6970794428954
3,1,15,1612.31172137202,1675.54702248065,G01,,G01,11.7093957561438
3,1,15,1675.54702248065,1773.20666333897,G01,,G01,4.20473023251847
3,1,15,1773.20666333897,1815.91031093987,G01,,G01,2.21668758615168
3,1,15,1815.91031093987,1860.43861599358,G01,,G01,2.11881910856134
3,1,15,1860.43861599358,2112.43861599358,G01,,G01,2.247841154143
3,1,15,2112.43861599358,2162.5365530053,G01,,G01,2.06590232346241
3,1,15,2162.5365530053,2453.24305561523,R02,Q3-R02,K3-G1-R02,1.93094688410247
3,1,15,2453.24305561523,2498.11547687988,R02,Q3-R02,K3-G1-R02,8.43420644323835
3,1,15,2498.11547687988,2894.11547687988,R02,Q3-R02,K3-G1-R02,8.58969544764825
3,1,15,2894.11547687988,2929.89717854003,R02,Q3-R02,K3-G1-R02,8.43471562018644
3,1,15,2929.89717854003,3108.86527227216,R02,Q3-R02,K3-G1-R02,5.00704939024411
3,1,15,3108.86527227216,3161.50263026138,R02,Q3-R02,K3-G1-R02,7.53770515162761
3,1,15,3161.50263026138,3423.98454221224,R01,Q3-R03,K3-G1-R01,0.373723419765184
3,1,15,3423.98454221224,3514.61166928744,G01,,G01,26.7800109952677
3,1,23,2695.78401825254,2843.81710337623,G01,,G01,18.9961742660636
3,1,23,2843.81710337623,2976.3411878242,G01,,G01,4.82841968678625
3,1,23,2976.3411878242,3108.86527227216,R02,Q3-R02,K3-G1-R02,0.808915587091107
3,1,23,3108.86527227216,3161.50263026138,R02,Q3-R02,K3-G1-R02,2.17416138408802
3,1,23,3161.50263026138,3244.44263481761,R01,Q3-R03,K3-G1-R01,6.31323878619594
3,1,23,3244.44263481761,3283.36233696605,R01,Q3-R03,K3-G1-R01,6.4073345137391
3,1,23,3283.36233696605,3523.36233696605,R01,Q3-R03,K3-G1-R01,6.55348643626947
3,1,23,3523.36233696605,3555.79542208974,R01,Q3-R03,K3-G1-R01,6.4073345137391
3,1,23,3555.79542208974,3756.10818781041,R01,Q3-R03,K3-G1-R01,5.03204532455047
3,1,23,3756.10818781041,3956.42095353107,G01,,G01,1.56891983145425
3,1,23,3956.42095353107,4134.06065567951,G01,,G01,18.9961742660636
3,2,1,2698.34363810088,2826.43469645049,G01,,G01,20.2529737910729
3,2,1,2826.43469645049,3108.86527227216,G01,,G01,0.574472625218277
3,2,1,3108.86527227216,3161.50263026138,R02,Q3-R02,K3-G2-R02,0.420362094099602
3,2,1,3161.50263026138,3204.30641035175,R01,Q3-R03,K3-G2-R01,4.02524455796281
3,2,1,3204.30641035175,3269.69568037128,R01,Q3-R03,K3-G2-R01,3.61938804937449
3,2,1,3269.69568037128,3479.69568037128,R01,Q3-R03,K3-G2-R01,4.1760073314011
